date	#num-revisions	#num-reverted-revisions	#num-vandalism-comment-reverted-revisions
2002-07-10	1	0	0
2002-11-03	1	0	0
2002-11-15	1	0	0
2002-11-30	1	0	0
2003-04-07	1	0	0
2003-07-21	1	0	0
2003-07-24	3	0	0
2003-09-05	1	0	0
2003-09-12	1	0	0
2003-09-13	1	0	0
2003-09-17	1	0	0
2003-09-20	1	0	0
2003-09-22	1	0	0
2003-09-26	1	0	0
2003-10-06	1	0	0
2003-11-12	1	0	0
2003-11-18	1	0	0
2003-11-22	4	0	0
2003-12-13	2	0	0
2003-12-28	1	0	0
2004-01-04	2	0	0
2004-01-06	1	0	0
2004-01-11	1	0	0
2004-02-10	7	0	0
2004-02-20	1	0	0
2004-02-22	1	0	0
2004-02-25	2	0	0
2004-02-26	2	0	0
2004-03-01	1	0	0
2004-03-07	1	0	0
2004-03-09	1	0	0
2004-03-18	1	0	0
2004-03-23	3	0	0
2004-03-29	1	0	0
2004-03-30	1	0	0
2004-04-08	2	0	0
2004-04-10	1	0	0
2004-04-16	1	0	0
2004-04-17	1	0	0
2004-04-21	1	0	0
2004-05-02	2	0	0
2004-06-11	1	1	0
2004-06-23	1	0	0
2004-06-25	1	0	0
2004-07-06	2	0	0
2004-07-07	3	1	0
2004-07-08	1	0	0
2004-07-20	7	2	0
2004-07-24	1	0	0
2004-07-28	1	0	0
2004-07-29	1	0	0
2004-07-30	1	0	0
2004-08-13	4	0	0
2004-08-14	4	0	0
2004-08-15	1	0	0
2004-08-16	1	0	0
2004-08-19	1	0	0
2004-08-23	1	0	0
2004-08-28	1	1	1
2004-08-30	1	0	0
2004-09-01	1	0	0
2004-09-02	4	0	0
2004-09-03	2	2	0
2004-09-09	3	0	0
2004-09-10	1	0	0
2004-09-12	1	1	0
2004-09-13	3	3	0
2004-09-14	1	0	0
2004-09-15	4	1	0
2004-09-16	2	0	0
2004-09-19	5	0	0
2004-09-20	11	0	0
2004-09-21	1	1	0
2004-09-22	4	0	0
2004-09-25	2	0	0
2004-09-26	1	0	0
2004-09-30	1	0	0
2004-10-03	1	1	0
2004-10-05	1	1	0
2004-10-07	1	0	0
2004-10-09	5	0	0
2004-10-10	2	0	0
2004-10-11	1	0	0
2004-10-12	1	0	0
2004-10-13	2	0	0
2004-10-20	2	2	2
2004-10-21	1	0	0
2004-10-25	1	0	0
2004-10-31	1	0	0
