date	#num-revisions	#num-reverted-revisions	#num-vandalism-comment-reverted-revisions
2001-10-25	1	0	0
2001-12-12	1	0	0
2002-01-09	3	0	0
2002-01-10	2	0	0
2002-01-11	1	0	0
2002-01-26	1	0	0
2002-02-25	3	0	0
2002-03-04	1	0	0
2002-05-31	1	0	0
2002-06-14	1	0	0
2002-06-28	1	0	0
2002-07-10	1	0	0
2002-08-20	1	0	0
2002-08-23	1	0	0
2002-08-27	1	0	0
2002-10-02	2	0	0
2002-10-03	1	0	0
2002-10-11	1	0	0
2002-10-12	1	0	0
2002-10-14	1	0	0
2002-10-25	2	0	0
2002-11-03	2	0	0
2002-11-15	3	0	0
2002-11-16	1	0	0
2002-11-21	1	0	0
2002-11-23	2	0	0
2002-11-30	1	0	0
2002-12-03	2	0	0
2002-12-15	2	0	0
2002-12-24	1	0	0
2003-01-05	1	0	0
2003-01-06	2	0	0
2003-01-16	2	0	0
2003-01-19	2	0	0
2003-02-06	2	0	0
2003-02-16	1	0	0
2003-03-12	1	0	0
2003-03-20	1	0	0
2003-04-01	1	0	0
2003-04-02	1	0	0
2003-04-03	1	0	0
2003-04-05	1	0	0
2003-04-06	1	0	0
2003-04-07	1	0	0
2003-05-01	1	0	0
2003-05-30	1	0	0
2003-06-06	1	0	0
2003-06-13	1	0	0
2003-06-18	1	0	0
2003-06-19	2	0	0
2003-06-20	3	0	0
2003-06-25	1	0	0
2003-07-21	1	0	0
2003-07-23	3	0	0
2003-07-24	3	0	0
2003-07-28	1	0	0
2003-08-01	1	0	0
2003-08-17	2	0	0
2003-08-18	2	0	0
2003-08-19	1	0	0
2003-08-23	7	0	0
2003-08-28	1	0	0
2003-09-04	1	0	0
2003-09-05	3	0	0
2003-09-06	1	0	0
2003-09-08	2	0	0
2003-09-12	10	0	0
2003-09-13	2	0	0
2003-09-14	1	0	0
2003-09-15	2	0	0
2003-09-16	6	0	0
2003-09-17	1	0	0
2003-09-18	4	0	0
2003-09-19	5	0	0
2003-09-20	24	0	0
2003-09-21	14	0	0
2003-09-22	4	0	0
2003-09-23	10	0	0
2003-09-24	20	0	0
2003-09-25	2	0	0
2003-09-26	11	0	0
2003-09-27	11	0	0
2003-09-28	11	0	0
